	V1	AVG	name
2542	2.906	2.906	P07737
3181	2.902	2.902	P16989
3414	2.897	2.897	P21291
10628	2.892	2.892	Q8ND56
6607	2.891	2.891	Q15427
6807	2.888	2.888	Q16630
3520	2.887	2.887	P23284
9163	2.887	2.887	Q7Z6E9
11323	2.883	2.883	Q8TF01
3899	2.881	2.881	P31943
13859	2.873	2.873	Q9C0J8
5972	2.87	2.87	Q13148
1918	2.867	2.867	O95104
4963	2.866	2.866	P55795
3344	2.863	2.863	P20073
7778	2.859	2.859	Q5VT52
12782	2.856	2.856	Q96PK6
5267	2.849	2.849	P68104
11503	2.847	2.847	Q8WWM7
13055	2.847	2.847	Q99590
4464	2.838	2.838	P48634
6806	2.837	2.837	Q16629
2830	2.835	2.835	P10412
16161	2.83	2.83	Q9ULX6
16608	2.828	2.828	Q9Y3X0
6608	2.827	2.827	Q15428
6654	2.822	2.822	Q15637
6452	2.82	2.82	Q14966
5650	2.819	2.819	Q05707
5692	2.818	2.818	Q06830
961	2.817	2.817	O15234
1317	2.807	2.807	O60293
5466	2.807	2.807	Q01085
16687	2.806	2.806	Q9Y520
1642	2.801	2.801	O75526
6502	2.799	2.799	Q15032
12379	2.799	2.799	Q96I24
900	2.798	2.798	O15047
5207	2.796	2.796	P62263
5712	2.794	2.794	Q07666
15022	2.793	2.793	Q9NTZ6
3882	2.791	2.791	P31483
16002	2.79	2.79	Q9UKJ3
16714	2.789	2.789	Q9Y5A9
3068	2.785	2.785	P14866
3594	2.781	2.781	P24928
6734	2.78	2.78	Q15942
14359	2.78	2.78	Q9H7N4
5453	2.778	2.778	Q00839
13372	2.771	2.771	Q9BTC0
13980	2.768	2.768	Q9H0L4
16013	2.765	2.765	Q9UKM9
1040	2.76	2.76	O15504
1375	2.759	2.759	O60506
4573	2.756	2.756	P49792
15566	2.754	2.754	Q9P2K5
14033	2.753	2.753	Q9H1E3
9387	2.749	2.749	Q86VM9
2662	2.748	2.748	P09429
3952	2.748	2.748	P33316
7822	2.742	2.742	Q5VV67
14561	2.742	2.742	Q9HBL0
4369	2.74	2.74	P46776
9080	2.738	2.738	Q7Z417
9500	2.738	2.738	Q86XN8
6326	2.734	2.734	Q14444
13690	2.733	2.733	Q9BYJ9
5222	2.73	2.73	P62633
9503	2.729	2.729	Q86XP3
3123	2.726	2.726	P15880
4862	2.724	2.724	P54253
2019	2.723	2.723	O95429
3948	2.723	2.723	P33240
4646	2.723	2.723	P50914
4650	2.722	2.722	P50995
5472	2.717	2.717	Q01130
6257	2.715	2.715	Q14151
3653	2.711	2.711	P26583
1140	2.709	2.709	O43390
5191	2.708	2.708	P61978
15154	2.708	2.708	Q9NWH9
3060	2.706	2.706	P14678
6606	2.703	2.703	Q15424
2514	2.701	2.701	P07305
1442	2.697	2.697	O60812
2998	2.692	2.692	P13645
11646	2.689	2.689	Q92522
1047	2.684	2.684	O15523
11680	2.684	2.684	Q92576
6385	2.683	2.683	Q14671
6016	2.679	2.679	Q13283
16791	2.676	2.676	Q9Y5S9
472	2.675	2.675	B2RXH8
12521	2.675	2.675	Q96KR1
16279	2.674	2.674	Q9UPN6
9517	2.673	2.673	Q86XZ4
6570	2.672	2.672	Q15287
9754	2.67	2.67	Q8IWX8
10282	2.667	2.667	Q8N684
5500	2.663	2.663	Q01804
6587	2.662	2.662	Q15366
165	2.66	2.66	A6NDE4
4740	2.659	2.659	P51858
4370	2.655	2.655	P46777
6220	2.655	2.655	Q14004
4554	2.654	2.654	P49750
3278	2.653	2.653	P18583
1948	2.651	2.651	O95218
5240	2.65	2.65	P62917
8474	2.644	2.644	Q6UN15
2484	2.643	2.643	P06576
12220	2.641	2.641	Q96EV2
13203	2.638	2.638	Q9BQ61
6586	2.637	2.637	Q15365
6890	2.637	2.637	Q17RY0
2551	2.634	2.634	P07910
2386	2.628	2.628	P04264
1635	2.627	2.627	O75494
8877	2.626	2.626	Q71RC2
16705	2.626	2.626	Q9Y580
2391	2.621	2.621	P04406
9293	2.619	2.619	Q86U42
9309	2.619	2.619	Q86UE4
12139	2.616	2.616	Q96DH6
4121	2.614	2.614	P37802
2356	2.611	2.611	P04003
16473	2.607	2.607	Q9Y2K5
4371	2.604	2.604	P46778
10735	2.604	2.604	Q8NEY8
1530	2.602	2.602	O75152
2678	2.601	2.601	P09622
11775	2.601	2.601	Q92841
10652	2.6	2.6	Q8NDT2
1853	2.598	2.598	O94875
5252	2.598	2.598	P63162
12367	2.597	2.597	Q96HR8
5893	2.596	2.596	Q12906
2330	2.594	2.594	P02766
1253	2.593	2.593	O43823
16513	2.592	2.592	Q9Y2W1
11848	2.59	2.59	Q93073
1098	2.589	2.589	O43251
16609	2.588	2.588	Q9Y3Y2
4773	2.585	2.585	P52597
5371	2.585	2.585	P82970
5725	2.585	2.585	Q07954
990	2.584	2.584	O15347
3526	2.581	2.581	P23396
930	2.58	2.58	O15127
16295	2.58	2.58	Q9UPS6
14645	2.578	2.578	Q9HCM7
6603	2.576	2.576	Q15415
16221	2.573	2.573	Q9UN86
3356	2.571	2.571	P20290
5690	2.57	2.57	Q06787
6663	2.567	2.567	Q15654
7947	2.564	2.564	Q659C4
15360	2.563	2.563	Q9NZB2
1544	2.561	2.561	O75179
2432	2.558	2.558	P05141
6004	2.558	2.558	Q13242
12981	2.558	2.558	Q96T37
4690	2.556	2.556	P51608
5290	2.556	2.556	P78332
6072	2.556	2.556	Q13428
7464	2.556	2.556	Q5JVS0
5420	2.555	2.555	P98175
15545	2.555	2.555	Q9P2E9
3548	2.552	2.552	P23588
7787	2.552	2.552	Q5VTE0
2795	2.551	2.551	P0DJD4
7625	2.551	2.551	Q5T481
8248	2.55	2.55	Q6P158
3816	2.545	2.545	P30405
4140	2.542	2.542	P39023
5211	2.542	2.542	P62280
10241	2.54	2.54	Q8N5F7
16510	2.54	2.54	Q9Y2V2
2855	2.534	2.534	P10809
4653	2.534	2.534	P51116
5379	2.533	2.533	P83731
1150	2.531	2.531	O43432
6135	2.531	2.531	Q13573
11545	2.531	2.531	Q8WXF0
11546	2.531	2.531	Q8WXF1
5388	2.529	2.529	P84103
15629	2.526	2.526	Q9UBK2
6615	2.523	2.523	Q15459
11096	2.519	2.519	Q8TB72
2326	2.518	2.518	P02753
6900	2.513	2.513	Q1KMD3
15970	2.512	2.512	Q9UK61
3307	2.51	2.51	P19338
3658	2.507	2.507	P26651
813	2.506	2.506	O14776
5736	2.506	2.506	Q08211
4731	2.502	2.502	P51816
8930	2.501	2.501	Q7L2J0
1981	2.497	2.497	O95319
8629	2.496	2.496	Q6Y7W6
3684	2.495	2.495	P27635
14137	2.495	2.495	Q9H307
7509	2.494	2.494	Q5QJE6
16569	2.493	2.493	Q9Y3B9
8414	2.492	2.492	Q6PKG0
9142	2.492	2.492	Q7Z5Q1
16277	2.489	2.489	Q9UPN3
11694	2.487	2.487	Q92615
693	2.486	2.486	O00571
4488	2.485	2.485	P49006
8408	2.485	2.485	Q6PJT7
9577	2.483	2.483	Q86YZ3
15296	2.482	2.482	Q9NYF8
13267	2.478	2.478	Q9BRD0
14806	2.477	2.477	Q9NQC3
5239	2.476	2.476	P62913
4342	2.475	2.475	P46013
6455	2.475	2.475	Q14978
7604	2.475	2.475	Q5T200
13545	2.475	2.475	Q9BX40
14991	2.475	2.475	Q9NSI8
3247	2.473	2.473	P17844
6810	2.473	2.473	Q16637
10257	2.471	2.471	Q8N5P1
4047	2.469	2.469	P35611
3740	2.467	2.467	P28799
12414	2.465	2.465	Q96IZ0
12661	2.465	2.465	Q96MU7
3052	2.464	2.464	P14618
4411	2.463	2.463	P47974
9331	2.463	2.463	Q86UR5
2494	2.461	2.461	P06748
4374	2.46	2.46	P46783
13514	2.46	2.46	Q9BWF3
4825	2.459	2.459	P53597
5443	2.459	2.459	Q00577
12821	2.459	2.459	Q96Q15
6006	2.457	2.457	Q13247
16945	2.457	2.457	Q9Y6Y8
3007	2.454	2.454	P13693
3621	2.452	2.452	P25705
3691	2.452	2.452	P27797
6675	2.452	2.452	Q15717
15146	2.451	2.451	Q9NWB1
2065	2.449	2.449	O95628
13146	2.447	2.447	Q99873
6331	2.442	2.442	Q14493
5166	2.441	2.441	P61247
6402	2.44	2.44	Q14694
14120	2.439	2.439	Q9H2U1
14888	2.438	2.438	Q9NRA8
15305	2.438	2.438	Q9NYL2
2640	2.437	2.437	P09012
5609	2.437	2.437	Q04637
9203	2.435	2.435	Q7Z7F0
14865	2.435	2.435	Q9NR30
14542	2.434	2.434	Q9HBD1
7677	2.433	2.433	Q5T8P6
14701	2.431	2.431	Q9NP73
1148	2.43	2.43	O43426
5203	2.43	2.43	P62249
13835	2.429	2.429	Q9C0C9
12978	2.428	2.428	Q96T21
13194	2.428	2.428	Q9BQ04
1628	2.427	2.427	O75475
2928	2.427	2.427	P11940
2490	2.426	2.426	P06733
15520	2.426	2.426	Q9P275
5223	2.425	2.425	P62701
10359	2.423	2.423	Q8N7X1
15139	2.421	2.421	Q9NW64
6005	2.42	2.42	Q13243
3224	2.419	2.419	P17509
11788	2.419	2.419	Q92879
4763	2.417	2.417	P52298
6604	2.416	2.416	Q15417
2651	2.415	2.415	P09132
8909	2.412	2.412	Q7KZI7
4652	2.41	2.41	P51114
5732	2.41	2.41	Q08170
15576	2.41	2.41	Q9P2N5
16514	2.41	2.41	Q9Y2W2
3798	2.409	2.409	P30048
3372	2.408	2.408	P20618
10468	2.408	2.408	Q8N9W6
5877	2.405	2.405	Q12872
11796	2.405	2.405	Q92900
4179	2.403	2.403	P40926
9811	2.402	2.402	Q8IXT5
16834	2.402	2.402	Q9Y624
3643	2.401	2.401	P26368
15834	2.4	2.4	Q9UHX1
2401	2.399	2.399	P04792
2611	2.399	2.399	P08621
6560	2.399	2.399	Q15233
9	2.398	2.398	A0AV96
3800	2.394	2.394	P30050
13765	2.394	2.394	Q9BZI7
3787	2.393	2.393	P29966
5167	2.393	2.393	P61254
11997	2.392	2.392	Q96B01
9942	2.391	2.391	Q8IZH2
4070	2.39	2.39	P35908
5507	2.389	2.389	Q01860
10744	2.389	2.389	Q8NF91
1161	2.386	2.386	O43491
2873	2.386	2.386	P11142
5786	2.386	2.386	Q09666
1718	2.382	2.382	O75822
5208	2.381	2.381	P62266
11045	2.381	2.381	Q8TAD8
2340	2.38	2.38	P02810
3857	2.38	2.38	P31146
5039	2.38	2.38	P57721
14151	2.379	2.379	Q9H361
3694	2.377	2.377	P27824
16883	2.375	2.375	Q9Y6G9
5254	2.374	2.374	P63241
6823	2.372	2.372	Q16666
8240	2.371	2.371	Q6NZY4
1024	2.37	2.37	O15446
4008	2.37	2.37	P35269
9224	2.37	2.37	Q86SE5
2337	2.369	2.369	P02790
3109	2.366	2.366	P15531
14872	2.366	2.366	Q9NR56
5255	2.364	2.364	P63244
3654	2.363	2.363	P26599
6071	2.362	2.362	Q13427
6012	2.361	2.361	Q13263
15241	2.359	2.359	Q9NXL6
773	2.358	2.358	O14647
6333	2.358	2.358	Q14498
9317	2.357	2.357	Q86UK7
612	2.356	2.356	O00267
3693	2.355	2.355	P27816
9558	2.355	2.355	Q86YN6
5058	2.354	2.354	P58107
12848	2.351	2.351	Q96QR8
5367	2.35	2.35	P82912
13100	2.349	2.349	Q99714
5649	2.349	2.349	Q05682
6025	2.348	2.348	Q13310
15811	2.348	2.348	Q9UHK0
13546	2.347	2.347	Q9BX46
2211	2.346	2.346	P00505
3779	2.345	2.345	P29558
13009	2.344	2.344	Q99439
15512	2.339	2.339	Q9P258
4788	2.337	2.337	P52756
1589	2.335	2.335	O75369
5231	2.335	2.335	P62826
15865	2.335	2.335	Q9UIF9
5916	2.334	2.334	Q12972
14007	2.333	2.333	Q9H0Z9
4680	2.333	2.333	P51532
4258	2.332	2.332	P42694
4967	2.332	2.332	P55884
14171	2.332	2.332	Q9H3Q1
5922	2.331	2.331	Q12986
2415	2.329	2.329	P05023
7704	2.329	2.329	Q5TC82
14350	2.329	2.329	Q9H7E2
1717	2.328	2.328	O75821
16457	2.328	2.328	Q9Y2H6
4612	2.327	2.327	P50395
2450	2.324	2.324	P05388
9188	2.321	2.321	Q7Z6Z7
8893	2.32	2.32	Q76FK4
11714	2.32	2.32	Q92667
2366	2.319	2.319	P04075
7957	2.319	2.319	Q66PJ3
4135	2.318	2.318	P38646
13612	2.318	2.318	Q9BXS6
3173	2.317	2.317	P16615
4854	2.316	2.316	P54105
14299	2.316	2.316	Q9H6F5
1647	2.315	2.315	O75534
5243	2.315	2.315	P62979
14608	2.314	2.314	Q9HCD5
14928	2.312	2.312	Q9NRR4
4357	2.312	2.312	P46109
1268	2.311	2.311	O43896
15208	2.311	2.311	Q9NX58
5737	2.31	2.31	Q08257
16585	2.308	2.308	Q9Y3I0
4944	2.306	2.306	P55265
11637	2.305	2.305	Q92499
6668	2.305	2.305	Q15691
2194	2.303	2.303	P00338
12399	2.303	2.303	Q96IP4
4291	2.302	2.302	P43243
5171	2.302	2.302	P61313
6412	2.299	2.299	Q14739
8616	2.299	2.299	Q6XE24
14398	2.299	2.299	Q9H8H2
1601	2.297	2.297	O75400
7244	2.296	2.296	Q53F19
9026	2.296	2.296	Q7Z2W4
2997	2.295	2.295	P13639
13027	2.294	2.294	Q99497
1134	2.292	2.292	O43347
8671	2.292	2.292	Q6ZN04
203	2.291	2.291	A6NFN3
12380	2.291	2.291	Q96I25
16334	2.29	2.29	Q9UQ80
15381	2.288	2.288	Q9NZI8
5645	2.288	2.288	Q05519
11741	2.288	2.288	Q92769
1731	2.287	2.287	O75874
2372	2.287	2.287	P04150
9851	2.287	2.287	Q8IYD1
13141	2.285	2.285	Q99848
7889	2.283	2.283	Q5VZF2
1641	2.282	2.282	O75525
15254	2.282	2.282	Q9NXV6
2866	2.279	2.279	P11021
5534	2.279	2.279	Q02252
2334	2.278	2.278	P02786
4925	2.277	2.277	P55084
3279	2.272	2.272	P18615
9758	2.272	2.272	Q8IWZ3
899	2.271	2.271	O15042
8845	2.271	2.271	Q702N8
13908	2.271	2.271	Q9GZV4
13286	2.27	2.27	Q9BRP8
7501	2.269	2.269	Q5PRF9
8940	2.267	2.267	Q7L4I2
2105	2.266	2.266	O95793
6075	2.266	2.266	Q13435
4373	2.265	2.265	P46782
5635	2.265	2.265	Q05193
8133	2.265	2.265	Q6IS14
15013	2.265	2.265	Q9NTK5
6404	2.264	2.264	Q14697
1109	2.261	2.261	O43290
2943	2.261	2.261	P12270
6078	2.258	2.258	Q13442
11535	2.257	2.257	Q8WXA9
1454	2.255	2.255	O60869
4920	2.254	2.254	P55072
9846	2.252	2.252	Q8IYB3
15638	2.252	2.252	Q9UBM7
3546	2.251	2.251	P23528
10678	2.251	2.251	Q8NE35
2630	2.25	2.25	P08865
3266	2.249	2.249	P18124
3341	2.246	2.246	P20042
5548	2.244	2.244	Q02543
2456	2.243	2.243	P05455
1646	2.241	2.241	O75533
9268	2.241	2.241	Q86TG7
14534	2.241	2.241	Q9HB71
7853	2.24	2.24	Q5VWX1
1521	2.238	2.238	O75131
2604	2.237	2.237	P08579
2329	2.236	2.236	P02765
8323	2.236	2.236	Q6P6C2
4408	2.236	2.236	P47914
2942	2.235	2.235	P12268
9762	2.234	2.234	Q8IX01
13968	2.233	2.233	Q9H0G5
2247	2.232	2.232	P01042
4089	2.232	2.232	P36542
2204	2.23	2.23	P00441
2321	2.229	2.229	P02746
5209	2.229	2.229	P62269
13960	2.229	2.229	Q9H0D6
10539	2.227	2.227	Q8NBJ9
4264	2.226	2.226	P42765
4447	2.226	2.226	P48444
6896	2.225	2.225	Q1ED39
13199	2.225	2.225	Q9BQ39
5563	2.223	2.223	Q02878
131	2.222	2.222	A5YKK6
4094	2.222	2.222	P36578
7758	2.222	2.222	Q5U5Q3
5345	2.22	2.22	P79522
956	2.218	2.218	O15226
8014	2.216	2.216	Q69YN4
2320	2.213	2.213	P02745
2512	2.211	2.211	P07237
7575	2.211	2.211	Q5SZQ8
15230	2.211	2.211	Q9NXG2
13937	2.21	2.21	Q9H074
13409	2.209	2.209	Q9BU76
14477	2.209	2.209	Q9HA38
13375	2.208	2.208	Q9BTD8
15054	2.208	2.208	Q9NUQ6
16689	2.207	2.207	Q9Y534
11698	2.206	2.206	Q92620
7694	2.205	2.205	Q5TAX3
5180	2.204	2.204	P61619
4139	2.203	2.203	P39019
6394	2.201	2.201	Q14684
12111	2.201	2.201	Q96CX2
3645	2.2	2.2	P26373
13110	2.2	2.2	Q99733
3804	2.199	2.199	P30101
5244	2.199	2.199	P62993
16718	2.199	2.199	Q9Y5B9
5569	2.198	2.198	Q02978
2584	2.195	2.195	P08240
6670	2.191	2.191	Q15696
16040	2.19	2.19	Q9UKV3
650	2.189	2.189	O00425
4348	2.186	2.186	P46087
2972	2.185	2.185	P13010
2219	2.184	2.184	P00738
7873	2.184	2.184	Q5VYS8
750	2.179	2.179	O14562
2328	2.178	2.178	P02763
5707	2.178	2.178	Q07352
16903	2.177	2.177	Q9Y6M1
3415	2.176	2.176	P21333
11385	2.176	2.176	Q8WUB8
9229	2.173	2.173	Q86SG3
15786	2.173	2.173	Q9UHC7
10987	2.172	2.172	Q8NHM5
6610	2.171	2.171	Q15434
2900	2.17	2.17	P11388
5878	2.17	2.17	Q12873
11463	2.17	2.17	Q8WVV9
12070	2.17	2.17	Q96C57
12425	2.17	2.17	Q96J87
3001	2.169	2.169	P13667
6820	2.169	2.169	Q16658
3258	2.168	2.168	P18031
8676	2.168	2.168	Q6ZN17
4911	2.167	2.167	P55036
8552	2.167	2.167	Q6UXG2
6292	2.166	2.166	Q14240
2341	2.165	2.165	P02812
5354	2.165	2.165	P80723
13679	2.165	2.165	Q9BYG3
4468	2.163	2.163	P48651
3106	2.162	2.162	P15502
4513	2.162	2.162	P49368
5196	2.162	2.162	P62081
7793	2.162	2.162	Q5VTL8
16629	2.161	2.161	Q9Y490
998	2.16	2.16	O15371
2327	2.16	2.16	P02760
3087	2.158	2.158	P15170
16653	2.158	2.158	Q9Y4F3
5891	2.157	2.157	Q12904
13824	2.155	2.155	Q9C0B0
1397	2.154	2.154	O60610
8276	2.154	2.154	Q6P2E9
8911	2.154	2.154	Q7L014
4516	2.153	2.153	P49411
4632	2.153	2.153	P50579
5892	2.152	2.152	Q12905
8798	2.151	2.151	Q6ZUT6
776	2.148	2.148	O14654
15745	2.148	2.148	Q9UGI8
3655	2.147	2.147	P26639
15042	2.147	2.147	Q9NUL3
4392	2.145	2.145	P47813
4648	2.145	2.145	P50991
4908	2.145	2.145	P55010
5202	2.145	2.145	P62241
9737	2.145	2.145	Q8IWS0
2546	2.144	2.144	P07814
12095	2.144	2.144	Q96CP2
13051	2.144	2.144	Q99575
13602	2.143	2.143	Q9BXP5
3070	2.143	2.143	P14868
5761	2.143	2.143	Q08945
6195	2.143	2.143	Q13838
15192	2.142	2.142	Q9NX05
5499	2.141	2.141	Q01780
7213	2.141	2.141	Q4VXU2
5145	2.139	2.139	P61011
12901	2.139	2.139	Q96RP9
2370	2.138	2.138	P04114
14476	2.138	2.138	Q9H9Z2
3468	2.137	2.137	P22234
7344	2.137	2.137	Q5D862
4558	2.135	2.135	P49756
1554	2.135	2.135	O75223
2609	2.135	2.135	P08603
2452	2.134	2.134	P05412
8907	2.132	2.132	Q7KZ85
1224	2.131	2.131	O43719
14380	2.131	2.131	Q9H814
1016	2.131	2.131	O15427
1011	2.13	2.13	O15400
4260	2.129	2.129	P42696
16007	2.128	2.128	Q9UKK9
3418	2.127	2.127	P21399
583	2.126	2.126	O00178
1783	2.125	2.125	O76021
5294	2.125	2.125	P78344
4938	2.124	2.124	P55209
9768	2.122	2.122	Q8IX12
14248	2.122	2.122	Q9H501
14851	2.122	2.122	Q9NQZ3
11943	2.121	2.121	Q96A33
5134	2.12	2.12	P60842
13657	2.12	2.12	Q9BY77
3475	2.119	2.119	P22314
5557	2.119	2.119	Q02790
12802	2.119	2.119	Q96PU8
8908	2.118	2.118	Q7KZF4
2324	2.117	2.117	P02749
11379	2.117	2.117	Q8WU90
5824	2.116	2.116	Q10570
648	2.113	2.113	O00422
7343	2.113	2.113	Q5D1E8
8239	2.112	2.112	Q6NZI2
5266	2.111	2.111	P68036
16584	2.111	2.111	Q9Y3F4
11906	2.11	2.11	Q969S3
1448	2.109	2.109	O60832
16336	2.107	2.107	Q9UQ88
3464	2.105	2.105	P22090
11657	2.105	2.105	Q92541
12140	2.105	2.105	Q96DI7
5869	2.104	2.104	Q12849
7236	2.104	2.104	Q53EL6
15041	2.103	2.103	Q9NUK0
3640	2.103	2.103	P26196
4651	2.103	2.103	P51003
5216	2.102	2.102	P62424
11176	2.102	2.102	Q8TCS8
3129	2.101	2.101	P15924
10555	2.101	2.101	Q8NBS9
3803	2.1	2.1	P30086
5624	2.1	2.1	Q04837
13488	2.1	2.1	Q9BVP2
5302	2.099	2.099	P78362
13888	2.099	2.099	Q9GZR2
2899	2.097	2.097	P11387
16042	2.097	2.097	Q9UKV8
5259	2.094	2.094	P63279
8258	2.093	2.093	Q6P1L8
9608	2.092	2.092	Q8IUH3
13927	2.092	2.092	Q9H000
5434	2.091	2.091	Q00341
2690	2.09	2.09	P09874
6191	2.09	2.09	Q13823
6256	2.09	2.09	Q14149
11800	2.09	2.09	Q92904
3016	2.088	2.088	P13798
5372	2.087	2.087	P82979
6500	2.087	2.087	Q15029
7163	2.087	2.087	Q4G0J3
9324	2.087	2.087	Q86UP2
4123	2.083	2.083	P37840
5219	2.082	2.082	P62495
12946	2.082	2.082	Q96SB4
14257	2.082	2.082	Q9H5H4
10639	2.08	2.08	Q8NDC0
5449	2.079	2.079	Q00688
4372	2.077	2.077	P46781
4943	2.077	2.077	P55263
11380	2.077	2.077	Q8WUA2
2373	2.076	2.076	P04156
4297	2.076	2.076	P43307
4507	2.076	2.076	P49327
4527	2.076	2.076	P49588
42	2.075	2.075	A1L020
9287	2.075	2.075	Q86U06
4922	2.074	2.074	P55081
2205	2.073	2.073	P00450
2313	2.073	2.073	P02675
4981	2.073	2.073	P56270
9735	2.073	2.073	Q8IWR0
2406	2.072	2.072	P04843
3257	2.072	2.072	P17987
11291	2.071	2.071	Q8TEA8
12786	2.071	2.071	Q96PM9
880	2.07	2.07	O14980
1240	2.067	2.067	O43776
1666	2.067	2.067	O75607
12836	2.066	2.066	Q96QD9
1064	2.065	2.065	O43143
905	2.064	2.064	O15056
4055	2.064	2.064	P35659
5227	2.064	2.064	P62750
4159	2.063	2.063	P40227
4761	2.063	2.063	P52292
534	2.063	2.063	E9PAV3
1867	2.063	2.063	O94906
12245	2.062	2.062	Q96F86
6117	2.061	2.061	Q13523
15032	2.061	2.061	Q9NUD5
15453	2.061	2.061	Q9P0M9
2097	2.06	2.06	O95758
2480	2.06	2.06	P06396
4563	2.06	2.06	P49761
9833	2.06	2.06	Q8IY67
10265	2.059	2.059	Q8N5U6
2568	2.058	2.058	P08123
3280	2.058	2.058	P18621
3539	2.058	2.058	P23490
5697	2.058	2.058	Q07020
2069	2.057	2.057	O95639
9950	2.057	2.057	Q8IZL8
11020	2.056	2.056	Q8NI27
4240	2.055	2.055	P42285
15759	2.053	2.053	Q9UGP8
8283	2.052	2.052	Q6P2Q9
10037	2.05	2.05	Q8N163
3323	2.049	2.049	P19544
4978	2.049	2.049	P56192
16304	2.049	2.049	Q9UPU9
5517	2.048	2.048	Q02040
11606	2.048	2.048	Q8WYQ5
684	2.046	2.046	O00541
7442	2.046	2.046	Q5JTH9
15568	2.046	2.046	Q9P2K8
573	2.044	2.044	O00148
15777	2.044	2.044	Q9UHA3
5235	2.043	2.043	P62841
15135	2.043	2.043	Q9NW13
15111	2.042	2.042	Q9NVP1
11003	2.041	2.041	Q8NHU6
12955	2.04	2.04	Q96SI9
10507	2.039	2.039	Q8NAV1
5604	2.037	2.037	Q03989
13528	2.037	2.037	Q9BWT3
690	2.036	2.036	O00566
16580	2.036	2.036	Q9Y3D9
1953	2.035	2.035	O95232
15234	2.033	2.033	Q9NXH9
16315	2.033	2.033	Q9UPY3
611	2.032	2.032	O00264
6423	2.032	2.032	Q14789
6494	2.032	2.032	Q15020
10460	2.032	2.032	Q8N9T8
1689	2.031	2.031	O75691
6564	2.031	2.031	Q15269
8783	2.03	2.03	Q6ZU64
9761	2.029	2.029	Q8IWZ8
9834	2.029	2.029	Q8IY81
10694	2.029	2.029	Q8NEF9
2909	2.028	2.028	P11498
5249	2.028	2.028	P63104
1514	2.026	2.026	O75116
3041	2.026	2.026	P14324
16534	2.026	2.026	Q9Y314
1652	2.025	2.025	O75569
12316	2.025	2.025	Q96GQ7
16553	2.024	2.024	Q9Y388
2414	2.023	2.023	P05019
11521	2.023	2.023	Q8WWY3
6882	2.022	2.022	Q17RH7
15476	2.022	2.022	Q9P127
11207	2.021	2.021	Q8TD47
13435	2.021	2.021	Q9BUQ8
5924	2.02	2.02	Q12996
6286	2.02	2.02	Q14204
16394	2.019	2.019	Q9Y262
1450	2.018	2.018	O60841
3847	2.018	2.018	P30876
2598	2.017	2.017	P08519
5206	2.016	2.016	P62258
10156	2.016	2.016	Q8N3Z6
11114	2.016	2.016	Q8TBF4
11308	2.015	2.015	Q8TEQ6
3020	2.015	2.015	P13861
3687	2.014	2.014	P27695
2026	2.013	2.013	O95453
10072	2.013	2.013	Q8N1W1
14630	2.013	2.013	Q9HCJ3
15345	2.013	2.013	Q9NZ01
4530	2.012	2.012	P49591
1263	2.011	2.011	O43865
4108	2.011	2.011	P36980
5672	2.011	2.011	Q06265
7238	2.011	2.011	Q53EP0
1392	2.01	2.01	O60573
10313	2.01	2.01	Q8N6N3
6669	2.009	2.009	Q15695
3820	2.006	2.006	P30419
11693	2.006	2.006	Q92614
16823	2.006	2.006	Q9Y606
2234	2.005	2.005	P00966
10642	2.004	2.004	Q8NDF8
